,Zone,Année,Qte pesticide(kg/ha),Rendement(hg/ha),Qte azote(N),Qte Engrais phosphatés,Qte potasse K2O,rainfall,Temperature
55,Bangladesh,2015,1.5599999999999998,123372,154.28,70.86,44.85,272.42413999999997,25.54136666666666
56,Bangladesh,2016,1.67,140820,136.41,74.29,50.76,213.20505444444447,26.008144444444447
57,Belize,1991,8.59,108744,18.52,24.69,20.99,145.08563333333333,25.97382222222223
58,Belize,1992,11.46,175893,17.24,27.59,21.84,158.37436666666662,25.59275555555556
59,Belize,1993,11.26,179229,15.96,31.91,20.21,195.2995,25.506477777777782
60,Belize,1994,11.9,280248,12.77,14.89,21.28,162.22042222222225,25.804722222222228
61,Belize,1995,12.29,264507,13.54,28.13,10.42,178.9512555555556,25.77464444444444
62,Belize,1996,12.78,273816,10.31,13.4,10.31,148.58768888888892,25.40133333333333
63,Belize,1997,13.28,305646,13.27,25.51,10.2,163.71315555555555,26.048800000000004
64,Belize,1998,13.9,231963,19.78,27.55,10.2,149.09513444444445,26.031355555555553
65,Belize,1999,13.62,229452,22.95,28.0,10.0,167.19146666666666,25.40943333333333
66,Belize,2000,13.089999999999998,356676,28.69,19.19,14.14,159.03275555555558,25.481722222222228
67,Belize,2001,17.36,424722,19.19,23.23,5.05,167.18164444444446,25.998866666666668
68,Belize,2002,14.99,447945,119.02,96.42,36.92,151.49945888888888,26.107344444444447
69,Belize,2003,13.14,416247,202.88,45.49,14.04,126.31331111111109,26.3631
70,Belize,2004,11.27,520758,25.43,24.5,4.05,148.62358888888892,26.071255555555553
71,Belize,2005,9.41,606816,40.28,15.15,0.16,170.04678888888893,26.288377777777768
72,Belize,2006,7.55,505785,28.05,32.93,0.27,220.22964444444452,26.01531111111111
73,Belize,2007,6.61,430110,25.43,15.29,1.05,167.10371111111112,26.19607777777778
74,Belize,2008,9.65,455241,16.35,15.94,1.85,176.50104444444443,26.24136666666667
75,Belize,2009,7.510000000000002,443643,55.79,25.94,2.7,137.63322222222223,26.253766666666664
76,Belize,2010,6.54,389853,21.31,12.17,7.19,214.1132888888889,26.058555555555554
77,Belize,2011,7.73,324642,53.28,107.02,4.21,174.51582222222225,26.45341111111112
78,Belize,2012,5.8,427707,55.42,31.53,12.38,180.0235888888889,26.315944444444447
79,Belize,2013,9.43,298902,124.42,76.29,75.21,227.33331111111116,26.156066666666664
80,Belize,2014,8.0,299973,161.69,64.37,39.3,156.28525555555558,26.19086666666667
81,Belize,2015,8.89,327750,146.79,94.14,39.65,128.84117777777777,26.44567777777777
82,Belize,2016,10.49,270021,140.1,106.16,56.8,163.55531111111108,26.5844
83,Botswana,1991,0.06,219798,1.0,1.33,0.66,35.058351111111115,20.43593333333333
84,Botswana,1992,0.07,213087,1.2,1.59,0.8,11.475483333333333,21.4847
85,Botswana,1993,0.05000000000000001,206373,1.14,1.14,0.57,18.993376666666666,20.9781
86,Botswana,1994,0.04,199662,1.26,1.01,0.25,24.22899111111111,20.238044444444444
87,Botswana,1995,0.05000000000000001,192948,6.16,0.31,0.13,18.424403333333327,21.154466666666668
88,Botswana,1996,0.05000000000000001,159348,9.22,0.3,0.14,31.32632333333333,20.309244444444445
89,Botswana,1997,0.06,129798,11.63,0.66,0.33,35.944335555555575,20.411933333333334
90,Botswana,1998,0.07,109092,16.23,1.3,0.87,22.640141111111113,21.522344444444446
91,Botswana,1999,0.07,115386,17.01,1.24,0.83,23.432634444444453,21.162555555555556
92,Botswana,2000,0.05000000000000001,120000,11.68,0.85,0.57,41.42246555555556,20.267511111111116
93,Botswana,2001,0.08,119220,20.4,1.49,1.0,31.66974111111111,20.891755555555555
94,Botswana,2009,0.05000000000000001,125001,42.86,2.82,2.61,28.996948888888888,21.46021111111111
95,Botswana,2010,0.07,205848,76.39,3.21,2.89,40.75892888888889,21.41451111111111
96,Botswana,2011,0.05000000000000001,138462,25.95,2.27,1.27,44.06607666666666,20.78131111111111
97,Botswana,2012,0.06,138462,52.79,0.88,0.78,24.190451111111113,21.098855555555552
98,Botswana,2013,0.06,354969,77.95,1.38,0.61,23.665875555555555,20.97321111111111
99,Botswana,2014,0.04,145950,52.37,2.78,2.41,29.778701111111108,21.0404
100,Botswana,2015,0.06,1052499,80.87,4.29,3.72,23.493218888888887,21.420833333333334
101,Botswana,2016,0.06,151773,80.87,4.29,3.72,25.544165555555548,21.5435
102,France,1991,5.43,496758,134.95,65.92,91.45,56.11925555555555,12.05195888888889
103,France,1992,4.47,425220,113.06,54.01,70.7,64.15228888888889,12.226546666666666
104,France,1993,4.78,378714,115.55,52.37,71.5,68.03888888888889,12.042448888888893
105,France,1994,4.64,318366,119.7,53.44,71.22,80.62841111111112,12.814521111111109
106,France,1995,4.34,349650,123.62,53.31,77.07,74.61554444444444,12.588444444444445
107,France,1996,5.05,276477,130.31,54.31,76.84,61.477455555555565,11.688637777777776
108,France,1997,5.650000000000001,285702,129.4,53.49,73.99,58.32123333333334,12.912933333333333
109,France,1998,5.54,285600,127.84,51.96,68.73,64.69341111111112,12.764822222222223
110,France,1999,5.88,334491,131.89,49.53,62.39,76.53602222222223,13.071508888888891
111,France,2000,5.02,330240,118.81,40.78,53.01,66.63317777777777,12.818261111111115
112,France,2001,5.12,318312,123.05,38.96,52.46,80.0633666666667,12.632704444444444
113,France,2002,4.23,352791,112.99,36.58,49.49,67.78263333333332,12.740595555555556
114,France,2003,3.83,301620,122.0,38.31,50.25,49.63178888888889,13.234824444444444
115,France,2004,3.91,381498,119.31,35.06,45.64,61.689088888888904,12.501533333333334
116,France,2005,4.02,334908,113.15,30.63,37.72,52.41929999999999,12.553458888888885
117,France,2006,3.68,409833,113.43,28.58,37.62,66.96785555555556,12.64786777777778
118,France,2007,3.99,283803,124.08,32.65,41.02,75.56423333333333,13.097380000000001
119,France,2008,4.07,341673,108.64,15.32,20.19,75.05371111111111,12.663643333333335
120,France,2009,3.2999999999999994,378360,98.57,8.55,7.02,59.00124444444445,12.614972222222226
121,France,2010,3.2099999999999995,341043,105.79,14.4,22.47,63.19163333333334,11.937417777777776
122,France,2011,3.18,404439,100.84,12.53,20.54,53.37777777777778,13.199015555555556
123,France,2012,3.31,406641,105.0,22.52,24.9,60.995977777777775,12.493054444444445
124,France,2013,3.4500000000000006,310593,112.34,25.04,23.29,73.5838111111111,11.884093333333333
125,France,2014,3.9,384756,111.73,23.01,25.02,74.21131111111113,13.371021111111114
126,France,2015,3.44,300648,115.07,22.61,24.09,62.48884444444444,13.002591111111114
